"year","month","month_name","avg_ticket_price","seats_sold","preview_status"
1985,6,"June",30.42,9281,"No Previews"
1985,6,"June",27.25,8167,"No Previews"
1985,6,"June",33.75,7386,"No Previews"
1985,6,"June",20.87,4586,"No Previews"
1985,6,"June",20.78,2938,"No Previews"
1985,6,"June",31.96,7992,"No Previews"
1985,6,"June",28.33,10831,"No Previews"
1985,6,"June",18.93,5672,"No Previews"
1985,6,"June",38.35,12043,"No Previews"
1985,6,"June",17.52,2709,"No Previews"
1985,6,"June",32.62,5801,"No Previews"
1985,6,"June",34.3,11921,"No Previews"
1985,6,"June",23.42,5210,"No Previews"
1985,6,"June",14.22,2273,"No Previews"
1985,6,"June",24.05,10120,"Previewed"
1985,6,"June",31.43,4880,"No Previews"
1985,6,"June",40.84,9969,"No Previews"
1985,6,"June",24.17,3768,"Previewed"
1985,6,"June",26.78,6667,"No Previews"
1985,6,"June",29.46,10231,"No Previews"
1985,6,"June",27.68,7918,"No Previews"
1985,6,"June",32.43,6291,"No Previews"
1985,6,"June",20.2,4669,"No Previews"
1985,6,"June",20.19,3288,"No Previews"
1985,6,"June",33.23,7952,"No Previews"
1985,6,"June",28.34,10939,"No Previews"
1985,6,"June",16.49,6516,"No Previews"
1985,6,"June",38.1,12029,"No Previews"
1985,6,"June",17.84,3126,"No Previews"
1985,6,"June",29.82,4924,"No Previews"
1985,6,"June",34.41,12007,"No Previews"
1985,6,"June",24.77,4996,"No Previews"
1985,6,"June",14.22,2383,"No Previews"
1985,6,"June",27.01,8727,"Previewed"
1985,6,"June",30.52,5143,"No Previews"
1985,6,"June",38.31,4644,"No Previews"
1985,6,"June",25.87,5505,"Previewed"
1985,6,"June",27.34,6367,"No Previews"
1985,6,"June",30.26,9797,"No Previews"
1985,6,"June",28.21,8096,"No Previews"
1985,6,"June",32.51,6376,"No Previews"
1985,6,"June",20.14,4582,"No Previews"
1985,6,"June",18.87,3749,"No Previews"
1985,6,"June",33.9,8071,"No Previews"
1985,6,"June",28.4,10983,"No Previews"
1985,6,"June",18.95,6391,"No Previews"
1985,6,"June",38.47,12036,"No Previews"
1985,6,"June",18.84,3519,"No Previews"
1985,6,"June",35.17,12128,"No Previews"
1985,6,"June",24.11,5090,"No Previews"
1985,6,"June",14.23,2467,"No Previews"
1985,6,"June",29.27,4816,"Previewed"
1985,6,"June",30.13,5109,"No Previews"
1985,6,"June",39.65,8025,"No Previews"
1985,6,"June",25.96,7105,"No Previews"
1985,6,"June",26.91,6585,"No Previews"
1985,6,"June",29.41,9957,"No Previews"
1985,6,"June",29.39,7841,"No Previews"
1985,6,"June",31.76,6632,"No Previews"
1985,6,"June",19.96,4737,"No Previews"
1985,6,"June",19.61,4045,"No Previews"
1985,6,"June",35.67,8205,"No Previews"
1985,6,"June",27.94,11043,"No Previews"
1985,6,"June",19.3,6421,"No Previews"
1985,6,"June",38.78,11991,"No Previews"
1985,6,"June",18.9,3660,"No Previews"
1985,6,"June",34.37,12058,"No Previews"
1985,6,"June",25.18,4594,"No Previews"
1985,6,"June",14.22,2338,"No Previews"
1985,6,"June",28.41,5566,"Previewed"
1985,6,"June",24.74,5965,"No Previews"
1985,6,"June",43.78,13833,"No Previews"
1985,6,"June",25.84,6525,"No Previews"
1985,6,"June",27.46,6421,"No Previews"
1985,7,"July",28.44,8288,"No Previews"
1985,7,"July",29.65,6184,"No Previews"
1985,7,"July",29.89,5953,"No Previews"
1985,7,"July",20.39,3910,"No Previews"
1985,7,"July",17.83,4210,"No Previews"
1985,7,"July",33.95,7874,"No Previews"
1985,7,"July",31.51,8775,"No Previews"
1985,7,"July",18.22,5266,"No Previews"
1985,7,"July",39.06,12069,"No Previews"
1985,7,"July",16.65,3615,"No Previews"
1985,7,"July",34.13,11500,"No Previews"
1985,7,"July",19.72,4123,"No Previews"
1985,7,"July",14.23,2269,"No Previews"
1985,7,"July",30.6,3580,"Previewed"
1985,7,"July",24.09,5248,"No Previews"
1985,7,"July",22.17,6386,"No Previews"
1985,7,"July",26.94,4534,"No Previews"
1985,7,"July",29.29,8606,"No Previews"
1985,7,"July",29.3,6552,"No Previews"
1985,7,"July",31.77,6732,"No Previews"
1985,7,"July",20.73,2949,"No Previews"
1985,7,"July",17.08,4379,"No Previews"
1985,7,"July",34.93,8169,"No Previews"
1985,7,"July",27.86,10369,"No Previews"
1985,7,"July",18.58,5103,"No Previews"
1985,7,"July",39.14,12020,"No Previews"
1985,7,"July",17.43,3517,"No Previews"
1985,7,"July",34.42,11700,"No Previews"
1985,7,"July",19.58,4851,"No Previews"
1985,7,"July",14.22,2247,"No Previews"
1985,7,"July",29.91,4535,"No Previews"
1985,7,"July",26.6,4588,"No Previews"
1985,7,"July",23.03,7100,"No Previews"
1985,7,"July",27.3,4659,"No Previews"
1985,7,"July",29.75,9838,"No Previews"
1985,7,"July",27.96,7925,"No Previews"
1985,7,"July",31.84,7613,"No Previews"
1985,7,"July",20.34,2904,"No Previews"
1985,7,"July",16.93,4617,"No Previews"
1985,7,"July",34.4,8206,"No Previews"
1985,7,"July",27.11,10610,"No Previews"
1985,7,"July",18.38,5438,"No Previews"
1985,7,"July",38.75,12015,"No Previews"
1985,7,"July",18.34,3537,"No Previews"
1985,7,"July",39.08,9997,"No Previews"
1985,7,"July",21.61,4996,"No Previews"
1985,7,"July",14.22,2117,"No Previews"
1985,7,"July",29.7,6715,"No Previews"
1985,7,"July",26.12,4645,"No Previews"
1985,7,"July",23.05,7165,"No Previews"
1985,7,"July",27.34,5540,"No Previews"
1985,7,"July",29.14,10260,"No Previews"
1985,7,"July",28.39,7818,"No Previews"
1985,7,"July",19.49,3876,"No Previews"
1985,7,"July",16.24,4421,"No Previews"
1985,7,"July",36.18,8206,"No Previews"
1985,7,"July",26.73,10786,"No Previews"
1985,7,"July",17.8,5992,"No Previews"
1985,7,"July",38.82,12019,"No Previews"
1985,7,"July",18.26,3720,"No Previews"
1985,7,"July",34.54,11841,"No Previews"
1985,7,"July",14.23,2147,"No Previews"
1985,7,"July",30.16,7449,"No Previews"
1985,7,"July",28.74,4315,"No Previews"
1985,7,"July",25.48,6456,"No Previews"
1985,7,"July",26.42,5374,"No Previews"
1985,8,"August",29.38,9314,"No Previews"
1985,8,"August",28.67,7739,"No Previews"
1985,8,"August",16.73,3157,"No Previews"
1985,8,"August",16.9,4450,"No Previews"
1985,8,"August",36.02,8120,"No Previews"
1985,8,"August",26.62,10581,"No Previews"
1985,8,"August",17.59,6691,"No Previews"
1985,8,"August",41.24,12031,"No Previews"
1985,8,"August",19.19,3709,"No Previews"
1985,8,"August",34.55,11000,"No Previews"
1985,8,"August",14.25,2604,"No Previews"
1985,8,"August",28.89,8415,"No Previews"
1985,8,"August",28.74,4489,"No Previews"
1985,8,"August",24.56,6541,"No Previews"
1985,8,"August",25.33,6570,"No Previews"
1985,8,"August",29.45,10048,"No Previews"
1985,8,"August",28.42,8746,"No Previews"
1985,8,"August",18.26,4569,"No Previews"
1985,8,"August",17.46,4246,"No Previews"
1985,8,"August",36.86,8146,"No Previews"
1985,8,"August",26.98,10786,"No Previews"
1985,8,"August",18.66,6170,"No Previews"
1985,8,"August",38.91,12024,"No Previews"
1985,8,"August",21.45,3602,"No Previews"
1985,8,"August",38.08,11050,"No Previews"
1985,8,"August",14.25,2585,"No Previews"
1985,8,"August",33.08,7683,"No Previews"
1985,8,"August",27.59,5731,"No Previews"
1985,8,"August",25.66,6529,"No Previews"
1985,8,"August",25.62,6645,"No Previews"
1985,8,"August",33.37,10416,"No Previews"
1985,8,"August",28.52,10023,"No Previews"
1985,8,"August",17.43,2990,"No Previews"
1985,8,"August",17.67,4705,"No Previews"
1985,8,"August",37.74,8152,"No Previews"
1985,8,"August",27.61,10815,"No Previews"
1985,8,"August",18.18,7302,"No Previews"
1985,8,"August",38.82,12029,"No Previews"
1985,8,"August",21.06,3597,"No Previews"
1985,8,"August",35.38,12664,"No Previews"
1985,8,"August",14.26,3060,"No Previews"
1985,8,"August",29.8,10077,"No Previews"
1985,8,"August",28.36,5985,"No Previews"
1985,8,"August",25.89,7272,"No Previews"
1985,8,"August",29.09,11754,"No Previews"
1985,8,"August",27.78,9918,"No Previews"
1985,8,"August",17.6,3149,"No Previews"
1985,8,"August",18.04,4993,"No Previews"
1985,8,"August",37.69,8134,"No Previews"
1985,8,"August",27.05,10961,"No Previews"
1985,8,"August",18.89,6796,"No Previews"
1985,8,"August",39.07,12019,"No Previews"
1985,8,"August",20.7,3579,"No Previews"
1985,8,"August",35.46,11929,"No Previews"
1985,8,"August",14.25,2950,"No Previews"
1985,8,"August",32.3,9009,"No Previews"
1985,8,"August",26.87,5795,"No Previews"
1985,8,"August",24.91,5999,"No Previews"
1985,9,"September",29.94,11475,"No Previews"
1985,9,"September",28.62,8896,"No Previews"
1985,9,"September",18.51,3927,"No Previews"
1985,9,"September",19.25,3875,"No Previews"
1985,9,"September",37.27,8140,"No Previews"
1985,9,"September",26.28,10653,"No Previews"
1985,9,"September",18.52,7896,"No Previews"
1985,9,"September",39.05,11978,"No Previews"
1985,9,"September",22.14,3702,"No Previews"
1985,9,"September",35.18,11956,"No Previews"
1985,9,"September",15.04,3330,"No Previews"
1985,9,"September",29.58,10524,"No Previews"
1985,9,"September",27.21,5606,"No Previews"
1985,9,"September",23.95,6587,"No Previews"
1985,9,"September",30.31,7251,"No Previews"
1985,9,"September",29.37,5868,"No Previews"
1985,9,"September",19.51,2680,"No Previews"
1985,9,"September",34.37,7342,"No Previews"
1985,9,"September",27.02,7868,"No Previews"
1985,9,"September",18.84,4348,"No Previews"
1985,9,"September",38.91,12009,"No Previews"
1985,9,"September",20.99,2905,"No Previews"
1985,9,"September",33.62,10427,"No Previews"
1985,9,"September",14.26,2746,"No Previews"
1985,9,"September",31.97,7089,"No Previews"
1985,9,"September",32.09,3684,"Previewed"
1985,9,"September",28.51,4123,"No Previews"
1985,9,"September",25.47,4033,"No Previews"
1985,9,"September",30.5,7890,"No Previews"
1985,9,"September",28.68,6649,"No Previews"
1985,9,"September",18.75,3071,"No Previews"
1985,9,"September",35.46,7692,"No Previews"
1985,9,"September",26.28,9085,"No Previews"
1985,9,"September",18.05,4709,"No Previews"
1985,9,"September",38.61,11995,"No Previews"
1985,9,"September",19,2908,"No Previews"
1985,9,"September",34.59,11256,"No Previews"
1985,9,"September",14.25,2824,"No Previews"
1985,9,"September",31.18,8832,"No Previews"
1985,9,"September",33.94,5746,"Previewed"
1985,9,"September",26.68,4377,"No Previews"
1985,9,"September",27.26,5796,"No Previews"
1985,9,"September",12.83,5172,"Previewed"
1985,9,"September",31.37,7949,"No Previews"
1985,9,"September",29.64,6405,"No Previews"
1985,9,"September",18.86,3113,"No Previews"
1985,9,"September",34.86,7455,"No Previews"
1985,9,"September",25.84,8509,"No Previews"
1985,9,"September",18.39,5147,"No Previews"
1985,9,"September",38.5,12010,"No Previews"
1985,9,"September",19.6,3060,"No Previews"
1985,9,"September",34.54,11215,"No Previews"
1985,9,"September",14.25,2721,"No Previews"
1985,9,"September",30.93,8441,"No Previews"
1985,9,"September",37.08,5643,"Previewed"
1985,9,"September",27.72,4244,"No Previews"
1985,9,"September",16.02,2838,"Previewed"
1985,9,"September",8.17,1204,"Previewed"
1985,9,"September",27.47,5373,"No Previews"
1985,9,"September",18.85,7774,"Previewed"
1985,9,"September",30.97,7540,"No Previews"
1985,9,"September",29.74,5883,"No Previews"
1985,9,"September",16.13,3284,"No Previews"
1985,9,"September",34.75,7639,"No Previews"
1985,9,"September",25.99,7883,"No Previews"
1985,9,"September",18.01,4948,"No Previews"
1985,9,"September",39.12,11991,"No Previews"
1985,9,"September",19.54,2804,"No Previews"
1985,9,"September",34.71,10919,"No Previews"
1985,9,"September",14.24,2435,"No Previews"
1985,9,"September",29.83,9494,"No Previews"
1985,9,"September",32.79,7913,"No Previews"
1985,9,"September",27.47,4110,"No Previews"
1985,9,"September",15.95,5953,"Previewed"
1985,9,"September",14.73,2813,"Previewed"
1985,9,"September",26.64,5167,"No Previews"
1985,9,"September",23.31,6930,"Previewed"
1985,10,"October",31.63,8294,"No Previews"
1985,10,"October",30.82,6238,"No Previews"
1985,10,"October",16.42,3926,"No Previews"
1985,10,"October",36.77,7782,"No Previews"
1985,10,"October",26.63,8684,"No Previews"
1985,10,"October",18.27,5973,"No Previews"
1985,10,"October",38.36,11974,"No Previews"
1985,10,"October",20.33,2756,"No Previews"
1985,10,"October",33.7,10949,"No Previews"
1985,10,"October",14.26,2743,"No Previews"
1985,10,"October",30.37,10140,"No Previews"
1985,10,"October",35.16,8302,"No Previews"
1985,10,"October",28.81,4573,"No Previews"
1985,10,"October",21,7274,"No Previews"
1985,10,"October",15.53,3463,"Previewed"
1985,10,"October",27.11,5999,"No Previews"
1985,10,"October",24.54,7961,"No Previews"
1985,10,"October",31.91,10084,"No Previews"
1985,10,"October",30.42,7619,"No Previews"
1985,10,"October",17.06,4298,"No Previews"
1985,10,"October",37.39,8110,"No Previews"
1985,10,"October",27.65,8558,"No Previews"
1985,10,"October",19.22,7005,"No Previews"
1985,10,"October",38.02,12004,"No Previews"
1985,10,"October",20.46,4222,"No Previews"
1985,10,"October",35.21,11606,"No Previews"
1985,10,"October",14.08,3857,"No Previews"
1985,10,"October",31.63,11472,"No Previews"
1985,10,"October",35.03,7491,"No Previews"
1985,10,"October",31.42,6055,"No Previews"
1985,10,"October",33.33,9000,"Previewed"
1985,10,"October",29.57,5539,"No Previews"
1985,10,"October",16.68,3614,"Previewed"
1985,10,"October",26.76,7466,"No Previews"
1985,10,"October",24.32,8562,"No Previews"
1985,10,"October",31.02,10307,"No Previews"
1985,10,"October",30.3,8227,"No Previews"
1985,10,"October",17.3,4081,"No Previews"
1985,10,"October",36.89,8073,"No Previews"
1985,10,"October",28.16,8906,"No Previews"
1985,10,"October",19.26,7045,"No Previews"
1985,10,"October",38.24,12001,"No Previews"
1985,10,"October",20.4,4557,"No Previews"
1985,10,"October",35.59,11431,"No Previews"
1985,10,"October",15.09,3190,"No Previews"
1985,10,"October",32.76,11787,"No Previews"
1985,10,"October",35.86,7290,"No Previews"
1985,10,"October",34.22,9274,"No Previews"
1985,10,"October",29.34,5737,"No Previews"
1985,10,"October",17.4,4226,"No Previews"
1985,10,"October",42.86,175,"Previewed"
1985,10,"October",25.91,7638,"No Previews"
1985,10,"October",24.35,8557,"No Previews"
1985,10,"October",31.04,9746,"No Previews"
1985,10,"October",29.61,7622,"No Previews"
1985,10,"October",17.37,3765,"No Previews"
1985,10,"October",37.12,8085,"No Previews"
1985,10,"October",27.41,8605,"No Previews"
1985,10,"October",18.68,6507,"No Previews"
1985,10,"October",38.42,12011,"No Previews"
1985,10,"October",20.01,4032,"No Previews"
1985,10,"October",35.57,11434,"No Previews"
1985,10,"October",14.99,2885,"No Previews"
1985,10,"October",31.29,11318,"No Previews"
1985,10,"October",36.48,5917,"No Previews"
1985,10,"October",34.45,10752,"No Previews"
1985,10,"October",29.31,5619,"No Previews"
1985,10,"October",16.86,4272,"No Previews"
1985,10,"October",38.33,1200,"Previewed"
1985,10,"October",26.7,7124,"No Previews"
1985,10,"October",25.07,8527,"No Previews"
1985,11,"November",32.19,8100,"No Previews"
1985,11,"November",30.3,6578,"No Previews"
1985,11,"November",16.77,3219,"No Previews"
1985,11,"November",36,7788,"No Previews"
1985,11,"November",26.86,8193,"No Previews"
1985,11,"November",19,5910,"No Previews"
1985,11,"November",38.66,12029,"No Previews"
1985,11,"November",20.39,4214,"No Previews"
